Measurement Mode,Photometric,,,,,,,,,
FileVersion,2,,,,,,,,,
,,,,,,,,,,
No. of Total Measurement,4,,,,,,,,,
Sample Name,Date:Time,Check,Judge,OD230,OD260,OD280,OD550,OD650,Pathlength(mm),Dilution
Blank,22/7/2029 10:48,,,-0.005,0.038,-0.057,-0.008,-0.007,0.201,1
prot_1to1,22/7/2029 10:49,C,,6.525,0.493,0.643,4.224,5.827,0.201,1
prot_1to1.5,22/7/2029 10:50,C,,7.481,0.51,0.688,4.765,9.468,0.201,1
prot_1t2,22/7/2029 10:51,C,,7.191,0.625,0.826,5.124,11.91,0.201,1
Wavelength(nm),Blank,prot_1to1,prot_1to1.5,prot_1t2,,,,,,
220,-0.056,22.696,24.07,23.584,,,,,,
221,-0.05,21.861,23.389,22.823,,,,,,
222,-0.044,20.725,22.441,21.779,,,,,,
223,-0.042,19.141,20.99,20.258,,,,,,
224,-0.04,16.698,18.522,17.804,,,,,,
225,-0.033,14.393,16.117,15.45,,,,,,
226,-0.023,12.355,13.95,13.351,,,,,,
227,-0.016,10.655,12.103,11.575,,,,,,
228,-0.004,9.047,10.338,9.894,,,,,,
229,0.007,7.739,8.888,8.521,,,,,,
230,-0.005,6.525,7.481,7.191,,,,,,
231,0,5.404,6.153,5.96,,,,,,
232,0.008,4.424,5,4.884,,,,,,
233,0.019,3.771,4.238,4.17,,,,,,
234,0.032,3.172,3.544,3.516,,,,,,
235,0.035,2.658,2.956,2.956,,,,,,
236,0.043,2.266,2.499,2.523,,,,,,
237,0.046,1.917,2.095,2.139,,,,,,
238,0.051,1.638,1.778,1.836,,,,,,
239,0.057,1.411,1.521,1.59,,,,,,
240,0.062,1.219,1.304,1.383,,,,,,
241,0.071,1.058,1.125,1.212,,,,,,
242,0.082,0.912,0.968,1.063,,,,,,
243,0.078,0.782,0.808,0.908,,,,,,
244,0.071,0.716,0.722,0.823,,,,,,
245,0.067,0.7,0.701,0.803,,,,,,
246,0.078,0.687,0.702,0.806,,,,,,
247,0.093,0.637,0.659,0.768,,,,,,
248,0.079,0.563,0.554,0.662,,,,,,
249,0.068,0.537,0.514,0.621,,,,,,
250,0.062,0.55,0.532,0.639,,,,,,
251,0.06,0.56,0.551,0.659,,,,,,
252,0.066,0.564,0.568,0.678,,,,,,
253,0.059,0.529,0.52,0.63,,,,,,
254,0.049,0.522,0.51,0.621,,,,,,
255,0.044,0.529,0.524,0.636,,,,,,
256,0.043,0.53,0.533,0.645,,,,,,
257,0.039,0.522,0.528,0.64,,,,,,
258,0.035,0.509,0.514,0.626,,,,,,
259,0.038,0.514,0.531,0.645,,,,,,
260,0.038,0.493,0.51,0.625,,,,,,
261,0.027,0.467,0.471,0.587,,,,,,
262,0.004,0.451,0.438,0.552,,,,,,
263,0.006,0.484,0.492,0.608,,,,,,
264,0,0.492,0.499,0.616,,,,,,
265,-0.006,0.502,0.514,0.631,,,,,,
266,-0.01,0.515,0.536,0.655,,,,,,
267,-0.013,0.523,0.546,0.668,,,,,,
268,-0.021,0.523,0.543,0.665,,,,,,
269,-0.025,0.535,0.558,0.68,,,,,,
270,-0.029,0.548,0.573,0.697,,,,,,
271,-0.032,0.569,0.604,0.731,,,,,,
272,-0.036,0.577,0.614,0.743,,,,,,
273,-0.044,0.572,0.595,0.722,,,,,,
274,-0.042,0.596,0.627,0.757,,,,,,
275,-0.043,0.614,0.65,0.782,,,,,,
276,-0.047,0.628,0.668,0.803,,,,,,
277,-0.052,0.634,0.676,0.812,,,,,,
278,-0.056,0.636,0.676,0.812,,,,,,
279,-0.057,0.641,0.681,0.818,,,,,,
280,-0.057,0.643,0.688,0.826,,,,,,
281,-0.055,0.643,0.692,0.831,,,,,,
282,-0.056,0.635,0.684,0.823,,,,,,
283,-0.059,0.621,0.667,0.805,,,,,,
284,-0.057,0.607,0.652,0.789,,,,,,
285,-0.05,0.614,0.664,0.805,,,,,,
286,-0.045,0.609,0.664,0.804,,,,,,
287,-0.049,0.588,0.638,0.778,,,,,,
