Run Name,20220801_dsnPPR10_Cy3_1_AF647_2
Run Date,02:10:17 PM   08-01-22
Method Name,0.3 ml / min 50 uL inject 4WL
Export Format Version, 1.00
Method ID,  837
Points/Second, 1.00
Number of Records,    960
Offset from Run Start Time,00:00:00
Run End Time,00:16:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,UV,Conductivity,GP Pressure,Volume
     0.0,0.000000,0.000000,  0,0.005505,0.000000,0.000000,  15.967,  265,     0.0
     1.0,0.000004,0.000013,  0,-0.000160,0.001875,0.000000,  15.969,  266,     0.0
     2.0,0.000000,-0.000008,  0,-0.000064,0.001802,0.000000,  15.968,  270,     0.0
     3.0,-0.000013,-0.000022,  0,-0.000064,0.003387,0.000000,  15.965,  272,     0.0
     4.0,-0.000006,-0.000015,  0,-0.000095,0.003912,0.000000,  15.969,  272,     0.0
     5.0,-0.000006,-0.000018,  0,-0.000128,0.004128,0.000000,  15.967,  276,     0.0
     6.0,-0.000006,-0.000029,  0,-0.000193,0.003758,0.000000,  15.973,  275,     0.0
     7.0,-0.000002,-0.000008,  0,-0.000128,0.001918,0.000000,  15.971,  273,     0.0
     8.0,0.000003,-0.000011,  0,-0.000064,0.000883,0.000000,  15.961,  273,     0.0
     9.0,-0.000008,-0.000009,  0,-0.000096,-0.000320,0.000000,  15.971,  275,     0.0
    10.0,-0.000019,-0.000004,  0,-0.000032,0.000412,0.000000,  15.967,  275,     0.1
    11.0,-0.000002,-0.000004,  0,-0.000128,0.002633,0.000000,  15.970,  275,     0.1
    12.0,0.000009,0.000000,  0,-0.000192,0.003908,0.000000,  15.975,  277,     0.1
    13.0,-0.000023,-0.000024,  0,-0.000129,0.002981,0.000000,  15.979,  276,     0.1
    14.0,0.000009,-0.000017,  0,-0.000097,0.000618,0.000000,  15.973,  275,     0.1
    15.0,0.000013,-0.000019,  0,-0.000129,0.001789,0.000000,  15.978,  276,     0.1
    16.0,-0.000002,-0.000034,  0,-0.000064,0.003662,0.000000,  15.975,  276,     0.1
    17.0,-0.000008,-0.000019,  0,-0.000032,0.004152,0.000000,  15.977,  276,     0.1
    18.0,-0.000002,-0.000005,  0,-0.000096,0.003526,0.000000,  15.976,  278,     0.1
    19.0,0.000017,0.000001,  0,0.000001,0.003053,0.000000,  15.973,  276,     0.1
    20.0,0.000011,0.000016,  0,0.000001,0.002435,0.000000,  15.975,  276,     0.1
    21.0,0.000009,0.000038,  0,0.000001,0.002903,0.000000,  15.974,  276,     0.1
    22.0,0.000022,0.000012,  0,0.000001,0.003256,0.000000,  15.976,  276,     0.1
    23.0,0.000032,0.000019,  0,-0.000032,0.002579,0.000000,  15.964,  276,     0.1
    24.0,0.000032,0.000047,  0,0.000001,0.001390,0.000000,  15.971,  276,     0.1
    25.0,0.000062,0.000043,  0,0.000032,0.001545,0.000000,  15.969,  280,     0.1
    26.0,0.000067,0.000047,  0,-0.000032,0.002591,0.000000,  15.966,  277,     0.1
    27.0,0.000062,0.000072,  0,0.000001,0.002363,0.000000,  15.969,  277,     0.1
    28.0,0.000075,0.000073,  0,0.000033,0.000892,0.000000,  15.968,  276,     0.1
    29.0,0.000079,0.000058,  0,0.000001,0.002165,0.000000,  15.969,  277,     0.1
    30.0,0.000067,0.000041,  0,0.000066,0.001414,0.000000,  15.968,  276,     0.2
    31.0,0.000071,0.000041,  0,0.000065,0.001842,0.000000,  15.968,  275,     0.2
    32.0,0.000060,0.000040,  0,-0.000032,0.001949,0.000000,  15.965,  274,     0.2
    33.0,0.000052,0.000054,  0,0.000001,0.002909,0.000000,  15.967,  275,     0.2
    34.0,0.000060,0.000053,  0,-0.000032,0.002825,0.000000,  15.969,  275,     0.2
    35.0,0.000065,0.000038,  0,-0.000161,0.003405,0.000000,  15.962,  276,     0.2
    36.0,0.000075,0.000067,  0,-0.000064,0.003877,0.000000,  15.971,  276,     0.2
    37.0,0.000075,0.000076,  0,0.000000,0.003573,0.000000,  15.969,  276,     0.2
    38.0,0.000069,0.000046,  0,-0.000032,0.003052,0.000000,  15.970,  279,     0.2
    39.0,0.000052,0.000062,  0,-0.000064,0.003166,0.000000,  15.965,  278,     0.2
    40.0,0.000069,0.000047,  0,-0.000032,0.003370,0.000000,  15.954,  277,     0.2
    41.0,0.000063,0.000054,  0,0.000000,0.003244,0.000000,  15.965,  277,     0.2
    42.0,0.000063,0.000048,  0,-0.000064,0.003321,0.000000,  15.968,  279,     0.2
    43.0,0.000088,0.000063,  0,0.000000,0.003776,0.000000,  15.957,  277,     0.2
    44.0,0.000077,0.000081,  0,-0.000032,0.003752,0.000000,  15.954,  275,     0.2
    45.0,0.000082,0.000080,  0,-0.000032,0.003447,0.000000,  15.965,  276,     0.2
    46.0,0.000093,0.000065,  0,-0.000032,0.002351,0.000000,  15.955,  274,     0.2
    47.0,0.000065,0.000079,  0,-0.000032,0.002249,0.000000,  15.960,  275,     0.2
    48.0,0.000056,0.000079,  0,-0.000129,0.002435,0.000000,  15.962,  275,     0.2
    49.0,0.000084,0.000081,  0,-0.000032,0.002597,0.000000,  15.956,  277,     0.2
    50.0,0.000080,0.000080,  0,0.000032,0.002501,0.000000,  15.965,  275,     0.3
    51.0,0.000091,0.000061,  0,-0.000097,0.002933,0.000000,  15.963,  277,     0.3
    52.0,0.000101,0.000055,  0,-0.000064,0.003010,0.000000,  15.960,  278,     0.3
    53.0,0.000101,0.000056,  0,-0.000065,0.002795,0.000000,  15.963,  277,     0.3
    54.0,0.000082,0.000061,  0,-0.000064,0.001598,0.000000,  15.964,  277,     0.3
    55.0,0.000082,0.000060,  0,0.000032,0.001396,0.000000,  15.966,  280,     0.3
    56.0,0.000070,0.000056,  0,0.000032,0.003357,0.000000,  15.955,  277,     0.3
    57.0,0.000053,0.000054,  0,-0.000032,0.002285,0.000000,  15.964,  277,     0.3
    58.0,0.000070,0.000070,  0,0.000064,0.002687,0.000000,  15.957,  278,     0.3
    59.0,0.000070,0.000058,  0,0.000000,0.001794,0.000000,  15.968,  274,     0.3
    60.0,0.000074,0.000057,  0,0.000065,0.001985,0.000000,  15.968,  274,     0.3
    61.0,0.000074,0.000067,  0,-0.000064,0.002621,0.000000,  15.968,  275,     0.3
    62.0,0.000074,0.000075,  0,-0.000032,0.001858,0.000000,  15.965,  277,     0.3
    63.0,0.000096,0.000069,  0,0.000000,0.000847,0.000000,  15.971,  277,     0.3
    64.0,0.000079,0.000054,  0,-0.000032,0.001788,0.000000,  15.968,  277,     0.3
    65.0,0.000072,0.000058,  0,-0.000032,0.001405,0.000000,  15.972,  278,     0.3
    66.0,0.000079,0.000069,  0,-0.000001,0.002657,0.000000,  15.961,  275,     0.3
    67.0,0.000079,0.000060,  0,-0.000097,0.003452,0.000000,  15.970,  276,     0.3
    68.0,0.000072,0.000056,  0,-0.000065,0.003710,0.000000,  15.970,  277,     0.3
    69.0,0.000072,0.000051,  0,0.000032,0.003817,0.000000,  15.966,  280,     0.3
    70.0,0.000055,0.000066,  0,0.000064,0.002333,0.000000,  15.969,  278,     0.4
    71.0,0.000066,0.000075,  0,0.000032,0.003148,0.000000,  15.970,  278,     0.4
    72.0,0.000053,0.000058,  0,-0.000033,0.002567,0.000000,  15.968,  276,     0.4
    73.0,0.000043,0.000047,  0,-0.000065,0.002141,0.000000,  15.963,  275,     0.4
    74.0,0.000049,0.000049,  0,0.000032,0.003273,0.000000,  15.969,  274,     0.4
    75.0,0.000068,0.000055,  0,-0.000001,0.003656,0.000000,  15.958,  277,     0.4
    76.0,0.000055,0.000060,  0,-0.000065,0.003573,0.000000,  15.956,  277,     0.4
    77.0,0.000180,0.000092,  0,0.000033,0.003190,0.000000,  15.962,  277,     0.4
    78.0,0.000201,0.000177,  0,0.000195,0.003292,0.000000,  15.965,  279,     0.4
    79.0,0.000101,0.000068,  0,0.000066,0.003310,0.000000,  15.967,  275,     0.4
    80.0,0.000021,-0.000015,  0,0.000065,0.002747,0.000000,  15.959,  276,     0.4
    81.0,-0.000041,-0.000027,  0,0.000064,0.003064,0.000000,  15.970,  276,     0.4
    82.0,-0.000066,-0.000043,  0,-0.000032,0.003184,0.000000,  15.963,  279,     0.4
    83.0,-0.000083,-0.000058,  0,-0.000032,0.003250,0.000000,  15.965,  279,     0.4
    84.0,-0.000064,-0.000044,  0,-0.000032,0.003543,0.000000,  15.962,  277,     0.4
    85.0,-0.000035,-0.000027,  0,-0.000065,0.003938,0.000000,  15.963,  279,     0.4
    86.0,-0.000009,0.000015,  0,-0.000162,0.003124,0.000000,  15.960,  276,     0.4
    87.0,0.000005,0.000042,  0,-0.000032,0.003250,0.000000,  15.964,  275,     0.4
    88.0,0.000024,0.000027,  0,-0.000065,0.001801,0.000000,  15.962,  274,     0.4
    89.0,0.000026,0.000016,  0,-0.000161,0.003058,0.000000,  15.965,  277,     0.4
    90.0,-0.000002,0.000031,  0,-0.000096,0.002447,0.000000,  15.961,  278,     0.5
    91.0,0.000011,0.000021,  0,-0.000032,0.002944,0.000000,  15.963,  278,     0.5
    92.0,-0.000003,0.000019,  0,-0.000064,0.003262,0.000000,  15.960,  276,     0.5
    93.0,0.000019,0.000009,  0,-0.000064,0.003561,0.000000,  15.963,  277,     0.5
    94.0,0.000010,-0.000002,  0,-0.000032,0.003681,0.000000,  15.964,  275,     0.5
    95.0,0.000006,0.000007,  0,-0.000064,0.003460,0.000000,  15.962,  278,     0.5
    96.0,0.000018,0.000023,  0,-0.000128,0.003484,0.000000,  15.950,  278,     0.5
    97.0,0.000020,-0.000001,  0,-0.000032,0.002435,0.000000,  15.959,  203,     0.5
    98.0,0.000014,-0.000017,  0,-0.000128,0.002447,0.000000,  15.967,  217,     0.5
    99.0,0.000027,0.000020,  0,0.000001,0.001603,0.000000,  15.965,  234,     0.5
   100.0,0.000022,0.000020,  0,-0.000064,0.002513,0.000000,  15.961,  242,     0.5
   101.0,0.000013,0.000011,  0,-0.000096,0.002795,0.000000,  15.962,  247,     0.5
   102.0,0.000026,0.000024,  0,0.000033,0.002585,0.000000,  15.960,  255,     0.5
   103.0,0.000039,0.000044,  0,-0.000064,0.002795,0.000000,  15.961,  258,     0.5
   104.0,0.000028,0.000046,  0,-0.000063,0.001429,0.000000,  15.958,  265,     0.5
   105.0,0.000047,0.000034,  0,-0.000031,0.001115,0.000000,  15.962,  268,     0.5
   106.0,0.000032,0.000041,  0,-0.000064,0.002052,0.000000,  15.963,  267,     0.5
   107.0,0.000036,0.000038,  0,-0.000096,0.003387,0.000000,  15.962,  269,     0.5
   108.0,0.000044,0.000030,  0,0.000001,0.003208,0.000000,  15.966,  271,     0.5
   109.0,0.000049,0.000026,  0,-0.000063,0.003298,0.000000,  15.966,  272,     0.5
   110.0,0.000046,0.000030,  0,0.000001,0.003124,0.000000,  15.958,  273,     0.6
   111.0,0.000031,0.000043,  0,-0.000032,0.003298,0.000000,  15.963,  275,     0.6
   112.0,0.000054,0.000034,  0,-0.000128,0.002987,0.000000,  15.957,  273,     0.6
