Run Name,20220826_BSA_Cy3_AF647
Run Date,11:21:00 AM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  894
Points/Second, 1.00
Number of Records,    636
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,-0.001018,-0.001219,0.825099,-0.556831,0.000000,  16.015,     0.0
     1.0,-0.001014,-0.001233,0.825013,-0.556877,0.000000,  16.016,     0.0
     2.0,-0.001005,-0.001233,0.824306,-0.556928,0.000000,  16.012,     0.0
     3.0,-0.000987,-0.001219,0.824064,-0.556872,0.000000,  16.016,     0.0
     4.0,-0.001000,-0.001201,0.824134,-0.556809,0.000000,  16.015,     0.0
     5.0,-0.000991,-0.001215,0.823807,-0.556763,0.000000,  16.018,     0.0
     6.0,0.000000,0.000000,0.823474,-0.556973,0.000000,  16.021,     0.1
     7.0,0.000018,-0.000028,-0.000958,0.000325,0.000000,  16.019,     0.1
     8.0,0.000023,-0.000021,-0.000185,0.000533,0.000000,  16.019,     0.1
     9.0,0.000032,-0.000024,-0.000186,0.000290,0.000000,  16.023,     0.1
    10.0,0.000054,0.000004,-0.000224,0.000851,0.000000,  16.029,     0.1
    11.0,0.000050,0.000001,-0.000186,0.001015,0.000000,  16.025,     0.1
    12.0,0.000036,0.000012,-0.000186,0.001209,0.000000,  16.022,     0.1
    13.0,0.000041,0.000004,-0.000150,0.001100,0.000000,  16.026,     0.1
    14.0,0.000045,0.000008,-0.000223,0.000828,0.000000,  16.024,     0.1
    15.0,0.000041,0.000015,-0.000112,0.000796,0.000000,  16.028,     0.1
    16.0,0.000032,0.000004,-0.000076,0.000937,0.000000,  16.029,     0.1
    17.0,0.000041,0.000012,-0.000076,0.001155,0.000000,  16.029,     0.1
    18.0,0.000063,0.000001,-0.000186,0.001023,0.000000,  16.030,     0.2
    19.0,0.000086,0.000015,-0.000186,0.001093,0.000000,  16.025,     0.2
    20.0,0.000090,0.000026,-0.000076,0.001311,0.000000,  16.030,     0.2
    21.0,0.000072,0.000030,-0.000114,0.001100,0.000000,  16.031,     0.2
    22.0,0.000063,0.000026,-0.000114,0.001209,0.000000,  16.031,     0.2
    23.0,0.000063,0.000033,-0.000040,0.001023,0.000000,  16.035,     0.2
    24.0,0.000081,0.000026,-0.000076,0.001100,0.000000,  16.029,     0.2
    25.0,0.000077,0.000023,-0.000076,0.001100,0.000000,  16.033,     0.2
    26.0,0.000090,0.000045,-0.000076,0.001132,0.000000,  16.030,     0.2
