Run Name,20220826_BSA_Cy3_NA
Run Date,10:49:01 AM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  892
Points/Second, 1.00
Number of Records,    634
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.000000,0.000000,0.001289,-0.546485,0.000000,  15.369,     0.0
     1.0,0.000009,0.000018,0.000034,-0.546395,0.000000,  15.370,     0.0
     2.0,0.000009,0.000011,-0.000003,0.000325,0.000000,  15.371,     0.0
     3.0,0.000018,-0.000010,-0.000075,0.000542,0.000000,  15.374,     0.0
     4.0,0.000014,0.000004,0.000033,-0.000605,0.000000,  15.373,     0.0
     5.0,0.000014,0.000008,-0.000003,-0.000074,0.000000,  15.373,     0.0
     6.0,0.000031,0.000011,0.000034,0.000357,0.000000,  15.375,     0.1
     7.0,0.000036,0.000026,-0.000039,0.001048,0.000000,  15.377,     0.1
     8.0,0.000027,0.000015,-0.000075,0.001333,0.000000,  15.379,     0.1
     9.0,0.000031,0.000047,-0.000077,0.001746,0.000000,  15.378,     0.1
    10.0,0.000023,0.000033,-0.000075,0.001065,0.000000,  15.380,     0.1
    11.0,0.000018,0.000026,-0.000003,0.001303,0.000000,  15.378,     0.1
    12.0,0.000031,0.000011,-0.000077,0.001494,0.000000,  15.380,     0.1
    13.0,0.000023,0.000015,-0.000039,0.001303,0.000000,  15.381,     0.1
    14.0,0.000014,-0.000003,0.000069,0.001095,0.000000,  15.384,     0.1
    15.0,0.000018,0.000008,-0.000077,0.001578,0.000000,  15.383,     0.1
    16.0,0.000009,0.000004,-0.000003,0.001655,0.000000,  15.385,     0.1
    17.0,0.000009,0.000004,-0.000149,0.001709,0.000000,  15.382,     0.1
    18.0,0.000009,0.000008,-0.000039,0.001632,0.000000,  15.390,     0.2
    19.0,0.000014,0.000011,-0.000039,0.001119,0.000000,  15.385,     0.2
    20.0,0.000022,0.000001,-0.000113,0.001769,0.000000,  15.384,     0.2
    21.0,0.000018,-0.000003,-0.000075,0.001394,0.000000,  15.386,     0.2
    22.0,0.000009,0.000001,-0.000038,0.001578,0.000000,  15.388,     0.2
    23.0,0.000027,-0.000014,-0.000003,0.000985,0.000000,  15.391,     0.2
    24.0,0.000005,-0.000025,-0.000039,0.001444,0.000000,  15.380,     0.2
    25.0,0.000005,-0.000003,-0.000039,0.001448,0.000000,  15.389,     0.2
    26.0,0.000009,-0.000024,-0.000077,0.001578,0.000000,  15.394,     0.2
    27.0,-0.000005,-0.000032,-0.000039,0.001793,0.000000,  15.395,     0.2
    28.0,-0.000036,-0.000060,-0.000038,0.001877,0.000000,  15.392,     0.2
    29.0,-0.000022,-0.000054,-0.000002,0.001632,0.000000,  15.394,     0.2
    30.0,-0.000036,-0.000046,-0.000075,0.002007,0.000000,  15.398,     0.3
    31.0,-0.000027,-0.000046,-0.000075,0.001793,0.000000,  15.397,     0.3
    32.0,-0.000018,-0.000043,-0.000002,0.001525,0.000000,  15.388,     0.3
    33.0,-0.000045,-0.000061,-0.000147,0.000647,0.000000,  15.403,     0.3
    34.0,-0.000049,-0.000050,-0.000075,0.000939,0.000000,  15.407,     0.3
