Run Name,20220826_BSA_NA_AF647
Run Date,11:01:41 AM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  893
Points/Second, 1.00
Number of Records,    635
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,-0.000170,-0.000499,0.815981,-0.557234,0.000000,  15.866,     0.0
     1.0,0.000009,-0.000488,0.816046,-0.557262,0.000000,  15.862,     0.0
     2.0,0.000018,0.000000,0.000354,-0.557229,0.000000,  15.869,     0.0
     3.0,0.000027,0.000023,-0.000001,-0.000723,0.000000,  15.869,     0.0
     4.0,0.000041,0.000041,-0.000078,0.000009,0.000000,  15.869,     0.0
     5.0,0.000050,0.000056,-0.000042,0.000627,0.000000,  15.868,     0.0
     6.0,0.000068,0.000057,-0.000006,0.000936,0.000000,  15.872,     0.1
     7.0,0.000068,0.000072,-0.000080,0.000767,0.000000,  15.871,     0.1
     8.0,0.000059,0.000068,-0.000006,0.001037,0.000000,  15.870,     0.1
     9.0,0.000100,0.000080,-0.000008,0.000922,0.000000,  15.875,     0.1
    10.0,0.000095,0.000080,-0.000045,0.001084,0.000000,  15.871,     0.1
    11.0,0.000086,0.000088,-0.000009,0.000922,0.000000,  15.876,     0.1
    12.0,0.000091,0.000085,-0.000084,0.001053,0.000000,  15.871,     0.1
    13.0,0.000095,0.000103,-0.000084,0.000490,0.000000,  15.874,     0.1
    14.0,0.000100,0.000114,-0.000122,0.000999,0.000000,  15.871,     0.1
    15.0,0.000109,0.000107,-0.000050,0.001154,0.000000,  15.867,     0.1
    16.0,0.000109,0.000097,-0.000014,0.000907,0.000000,  15.875,     0.1
    17.0,0.000100,0.000112,-0.000087,0.000552,0.000000,  15.882,     0.1
    18.0,0.000100,0.000108,-0.000015,0.000884,0.000000,  15.878,     0.2
    19.0,0.000096,0.000119,0.000021,0.000769,0.000000,  15.878,     0.2
    20.0,0.000087,0.000108,-0.000017,0.001124,0.000000,  15.881,     0.2
    21.0,0.000100,0.000062,-0.000054,0.001333,0.000000,  15.881,     0.2
    22.0,0.000087,0.000080,0.000020,0.000164,0.000000,  15.879,     0.2
    23.0,0.000069,0.000081,-0.000018,0.000266,0.000000,  15.882,     0.2
    24.0,0.000069,0.000077,0.000018,0.000606,0.000000,  15.878,     0.2
    25.0,0.000069,0.000080,0.000018,0.000653,0.000000,  15.886,     0.2
    26.0,0.000042,0.000095,-0.000020,0.001109,0.000000,  15.884,     0.2
    27.0,0.000042,0.000066,0.000017,0.000622,0.000000,  15.884,     0.2
    28.0,0.000033,0.000041,-0.000056,0.000839,0.000000,  15.884,     0.2
    29.0,0.000019,0.000026,-0.000094,0.001001,0.000000,  15.887,     0.2
    30.0,0.000019,0.000019,-0.000059,0.000669,0.000000,  15.869,     0.3
    31.0,0.000015,0.000012,-0.000023,0.000700,0.000000,  15.880,     0.3
    32.0,-0.000003,-0.000006,-0.000059,0.000530,0.000000,  15.877,     0.3
    33.0,-0.000035,-0.000003,-0.000060,0.000770,0.000000,  15.882,     0.3
    34.0,-0.000053,-0.000021,-0.000098,0.000554,0.000000,  15.874,     0.3
    35.0,-0.000053,-0.000042,0.000014,0.000414,0.000000,  15.882,     0.3
