Run Name,20220826_BSA_NA_NA
Run Date,12:00:17 PM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  897
Points/Second, 1.00
Number of Records,    630
Offset from Run Start Time,00:00:00
Run End Time,00:10:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.000000,0.000000,0.825802,-0.555498,0.000000,  16.050,     0.0
     1.0,0.000000,0.000000,0.825665,-0.555334,0.000000,  16.054,     0.0
     2.0,0.000023,-0.000003,0.000766,0.000568,0.000000,  16.046,     0.0
     3.0,0.000027,0.000015,0.000147,0.000562,0.000000,  16.045,     0.0
     4.0,0.000027,0.000012,0.000071,0.000772,0.000000,  16.043,     0.0
     5.0,0.000027,0.000022,-0.000039,0.000873,0.000000,  16.041,     0.0
     6.0,0.000041,0.000004,0.000035,0.001121,0.000000,  16.042,     0.1
     7.0,0.000041,0.000015,0.000109,0.000516,0.000000,  16.043,     0.1
     8.0,0.000041,0.000030,0.000071,0.000951,0.000000,  16.047,     0.1
     9.0,0.000041,0.000037,0.000071,0.000625,0.000000,  16.047,     0.1
    10.0,0.000059,0.000037,0.000146,0.000920,0.000000,  16.042,     0.1
    11.0,0.000059,0.000037,0.000146,0.000733,0.000000,  16.047,     0.1
    12.0,0.000077,0.000063,0.000182,0.000920,0.000000,  16.047,     0.1
    13.0,0.000072,0.000056,0.000182,0.000454,0.000000,  16.050,     0.1
    14.0,0.000086,0.000052,0.000146,0.000104,0.000000,  16.058,     0.1
    15.0,0.000099,0.000060,0.000108,0.000407,0.000000,  16.054,     0.1
    16.0,0.000095,0.000071,0.000146,0.000578,0.000000,  16.057,     0.1
    17.0,0.000095,0.000071,0.000182,0.000111,0.000000,  16.061,     0.1
    18.0,0.000099,0.000071,0.000108,0.000764,0.000000,  16.057,     0.2
    19.0,0.000104,0.000078,0.000182,-0.000363,0.000000,  16.058,     0.2
    20.0,0.000113,0.000078,0.000144,0.000764,0.000000,  16.059,     0.2
    21.0,0.000118,0.000070,0.000181,0.000539,0.000000,  16.065,     0.2
    22.0,0.000118,0.000071,0.000144,0.000703,0.000000,  16.059,     0.2
    23.0,0.000118,0.000078,0.000070,0.000757,0.000000,  16.063,     0.2
    24.0,0.000131,0.000081,0.000108,0.000780,0.000000,  16.064,     0.2
    25.0,0.000140,0.000107,0.000144,0.000679,0.000000,  16.061,     0.2
    26.0,0.000127,0.000103,0.000181,0.000842,0.000000,  16.064,     0.2
    27.0,0.000136,0.000103,0.000181,0.000998,0.000000,  16.065,     0.2
    28.0,0.000145,0.000096,0.000182,0.000570,0.000000,  16.066,     0.2
    29.0,0.000145,0.000107,0.000218,0.000726,0.000000,  16.062,     0.2
    30.0,0.000140,0.000114,0.000182,0.000648,0.000000,  16.067,     0.3
