Run Name,20220826_dsnPPR10_Cy3_AF647
Run Date,11:46:41 AM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  896
Points/Second, 1.00
Number of Records,    634
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,-0.000244,-0.000480,0.819658,-0.555407,0.000000,  16.078,     0.0
     1.0,0.000005,-0.000506,0.819753,-0.555260,0.000000,  16.066,     0.0
     2.0,0.000023,-0.000007,0.000080,0.000000,0.000000,  16.075,     0.0
     3.0,0.000023,0.000011,0.000109,0.000457,0.000000,  16.072,     0.0
     4.0,0.000032,0.000019,0.000182,0.001319,0.000000,  16.076,     0.0
     5.0,0.000018,0.000019,0.000218,0.001576,0.000000,  16.078,     0.0
     6.0,0.000009,-0.000006,0.000182,0.001156,0.000000,  16.078,     0.1
     7.0,0.000023,0.000004,0.000145,0.001748,0.000000,  16.082,     0.1
     8.0,0.000050,0.000011,0.000109,0.001469,0.000000,  16.085,     0.1
     9.0,0.000041,0.000037,0.000145,0.001376,0.000000,  16.085,     0.1
    10.0,0.000045,0.000030,0.000145,0.001461,0.000000,  16.088,     0.1
    11.0,0.000050,0.000026,0.000182,0.001655,0.000000,  16.085,     0.1
    12.0,0.000054,0.000030,0.000107,0.001764,0.000000,  16.082,     0.1
    13.0,0.000054,0.000037,0.000070,0.001166,0.000000,  16.080,     0.1
    14.0,0.000054,0.000026,0.000107,0.001150,0.000000,  16.081,     0.1
    15.0,0.000068,0.000037,0.000107,0.000675,0.000000,  16.085,     0.1
    16.0,0.000041,0.000037,0.000144,0.001507,0.000000,  16.086,     0.1
    17.0,0.000041,0.000033,0.000144,0.001585,0.000000,  16.083,     0.1
    18.0,0.000018,0.000044,0.000107,0.001577,0.000000,  16.081,     0.2
    19.0,0.000027,0.000023,0.000182,0.001469,0.000000,  16.083,     0.2
    20.0,0.000032,0.000001,0.000109,0.001391,0.000000,  16.086,     0.2
    21.0,0.000018,0.000012,0.000033,0.001795,0.000000,  16.082,     0.2
    22.0,0.000009,0.000004,0.000033,0.001764,0.000000,  16.077,     0.2
    23.0,0.000005,0.000001,0.000071,0.001903,0.000000,  16.081,     0.2
    24.0,0.000005,-0.000010,0.000071,0.001430,0.000000,  16.084,     0.2
    25.0,0.000009,-0.000028,0.000109,0.001927,0.000000,  16.087,     0.2
    26.0,0.000014,-0.000025,0.000035,0.001679,0.000000,  16.088,     0.2
    27.0,0.000009,-0.000018,0.000071,0.001679,0.000000,  16.089,     0.2
    28.0,0.000023,-0.000021,0.000071,0.001197,0.000000,  16.090,     0.2
    29.0,0.000009,-0.000007,0.000071,0.001360,0.000000,  16.093,     0.2
    30.0,-0.000018,-0.000007,0.000071,0.001360,0.000000,  16.086,     0.3
    31.0,-0.000018,-0.000010,0.000145,0.001547,0.000000,  16.090,     0.3
    32.0,-0.000009,-0.000025,0.000035,0.000698,0.000000,  16.094,     0.3
    33.0,-0.000005,-0.000018,-0.000002,0.000644,0.000000,  16.089,     0.3
    34.0,0.000005,-0.000039,0.000073,0.001150,0.000000,  16.096,     0.3
    35.0,0.000005,-0.000028,-0.000039,0.001686,0.000000,  16.092,     0.3
    36.0,0.000000,-0.000028,0.000035,0.001414,0.000000,  16.095,     0.3
    37.0,0.000095,-0.000032,0.000035,0.001710,0.000000,  16.092,     0.3
    38.0,0.000194,0.000012,0.000145,0.001033,0.000000,  16.096,     0.3
    39.0,0.000145,0.000144,0.000363,0.001414,0.000000,  16.100,     0.3
    40.0,0.000077,0.000100,0.000327,0.001818,0.000000,  16.097,     0.3
    41.0,0.000036,0.000045,0.000070,0.001304,0.000000,  16.096,     0.3
    42.0,0.000018,0.000001,0.000071,0.001677,0.000000,  16.094,     0.3
    43.0,0.000014,-0.000014,0.000071,0.002074,0.000000,  16.098,     0.4
    44.0,-0.000009,-0.000021,-0.000039,0.002222,0.000000,  16.091,     0.4
    45.0,0.000005,-0.000021,0.000109,0.002066,0.000000,  16.090,     0.4
    46.0,0.000000,-0.000025,0.000071,0.001577,0.000000,  16.079,     0.4
    47.0,-0.000018,-0.000040,-0.000039,0.001577,0.000000,  16.087,     0.4
    48.0,-0.000045,-0.000036,0.000035,0.001632,0.000000,  16.084,     0.4
    49.0,-0.000032,-0.000047,-0.000003,0.000652,0.000000,  16.085,     0.4
    50.0,-0.000027,-0.000058,0.000035,0.001367,0.000000,  16.083,     0.4
    51.0,-0.000032,-0.000043,0.000073,0.001795,0.000000,  16.079,     0.4
    52.0,-0.000018,-0.000025,-0.000076,0.001818,0.000000,  16.079,     0.4
    53.0,-0.000018,-0.000025,0.000145,0.002114,0.000000,  16.084,     0.4
    54.0,-0.000023,-0.000029,0.000109,0.001383,0.000000,  16.081,     0.4
    55.0,-0.000009,-0.000040,0.000109,0.001438,0.000000,  16.082,     0.5
    56.0,0.000014,-0.000043,0.000073,0.001740,0.000000,  16.072,     0.5
    57.0,0.000041,-0.000028,0.000073,0.001880,0.000000,  16.077,     0.5
    58.0,0.000041,0.000001,0.000145,0.001873,0.000000,  16.079,     0.5
    59.0,0.000063,0.000001,0.000107,0.001873,0.000000,  16.077,     0.5
    60.0,0.000036,0.000008,0.000109,0.001686,0.000000,  16.084,     0.5
    61.0,0.000032,0.000015,0.000182,0.002097,0.000000,  16.080,     0.5
    62.0,0.000023,0.000008,0.000182,0.002121,0.000000,  16.081,     0.5
    63.0,0.000009,-0.000010,0.000145,0.001710,0.000000,  16.076,     0.5
    64.0,0.000005,-0.000010,0.000071,0.000729,0.000000,  16.073,     0.5
    65.0,0.000009,-0.000010,0.000107,0.000909,0.000000,  16.072,     0.5
    66.0,0.000009,-0.000021,0.000033,0.001710,0.000000,  16.069,     0.5
    67.0,0.000005,-0.000029,0.000071,0.001927,0.000000,  16.068,     0.6
    68.0,-0.000005,-0.000025,0.000035,0.001951,0.000000,  16.072,     0.6
    69.0,0.000009,-0.000025,0.000109,0.001492,0.000000,  16.074,     0.6
    70.0,-0.000014,-0.000022,0.000109,0.001764,0.000000,  16.077,     0.6
    71.0,-0.000018,-0.000025,0.000145,0.001951,0.000000,  16.075,     0.6
    72.0,-0.000027,-0.000025,0.000035,0.001740,0.000000,  16.075,     0.6
    73.0,-0.000023,-0.000061,-0.000002,0.002043,0.000000,  16.072,     0.6
    74.0,-0.000032,-0.000029,-0.000002,0.001079,0.000000,  16.068,     0.6
    75.0,-0.000023,-0.000043,0.000111,0.001670,0.000000,  16.071,     0.6
    76.0,-0.000018,-0.000040,0.000109,0.001523,0.000000,  16.066,     0.6
    77.0,-0.000023,-0.000050,-0.000076,0.001818,0.000000,  16.071,     0.6
    78.0,-0.000014,-0.000061,-0.000002,0.001896,0.000000,  16.071,     0.6
    79.0,-0.000027,-0.000054,0.000109,0.001461,0.000000,  16.071,     0.7
    80.0,-0.000027,-0.000054,0.000073,0.001547,0.000000,  16.075,     0.7
    81.0,-0.000036,-0.000040,0.000073,0.001064,0.000000,  16.079,     0.7
    82.0,-0.000023,-0.000072,0.000073,0.001616,0.000000,  16.078,     0.7
    83.0,-0.000041,-0.000058,0.000073,0.000838,0.000000,  16.077,     0.7
    84.0,-0.000014,-0.000043,0.000073,0.000939,0.000000,  16.079,     0.7
    85.0,-0.000023,-0.000051,0.000109,0.000955,0.000000,  16.076,     0.7
    86.0,-0.000027,-0.000054,0.000073,0.001965,0.000000,  16.080,     0.7
    87.0,-0.000027,-0.000062,0.000036,0.001826,0.000000,  16.083,     0.7
    88.0,-0.000014,-0.000069,0.000073,0.001577,0.000000,  16.079,     0.7
    89.0,-0.000023,-0.000054,0.000073,0.001554,0.000000,  16.082,     0.7
    90.0,-0.000018,-0.000054,0.000036,0.000768,0.000000,  16.077,     0.8
    91.0,-0.000023,-0.000054,0.000109,0.001313,0.000000,  16.081,     0.8
    92.0,-0.000036,-0.000044,0.000073,0.001849,0.000000,  16.079,     0.8
    93.0,-0.000027,-0.000072,0.000073,0.001958,0.000000,  16.071,     0.8
    94.0,-0.000027,-0.000061,0.000109,0.001903,0.000000,  16.080,     0.8
    95.0,-0.000005,-0.000058,0.000035,0.001965,0.000000,  16.065,     0.8
    96.0,0.000036,-0.000047,0.000035,0.000962,0.000000,  16.070,     0.8
    97.0,0.000077,-0.000018,0.000070,0.001530,0.000000,  16.070,     0.8
    98.0,0.000158,0.000008,0.000180,0.001655,0.000000,  16.067,     0.8
    99.0,0.000299,0.000052,0.000397,0.001702,0.000000,  16.065,     0.8
   100.0,0.000629,0.000118,0.000688,0.001539,0.000000,  16.067,     0.8
   101.0,0.001658,0.000276,0.001527,0.001648,0.000000,  16.064,     0.8
   102.0,0.003797,0.000585,0.003648,0.002364,0.000000,  16.063,     0.8
   103.0,0.008023,0.001630,0.009811,0.003144,0.000000,  16.062,     0.9
   104.0,0.016483,0.003414,0.021296,0.003915,0.000000,  16.060,     0.9
   105.0,0.025130,0.006339,0.042339,0.007838,0.000000,  16.059,     0.9
   106.0,0.034505,0.010353,0.075193,0.013690,0.000000,  16.061,     0.9
