Run Name,20220826_labelling_dsnPPR10_Cy3_NA
Run Date,10:35:42 AM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  891
Points/Second, 1.00
Number of Records,    636
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,-0.000063,-0.000021,0.007316,0.000140,0.000000,  15.594,     0.0
     1.0,-0.000054,-0.000010,0.007442,0.000100,0.000000,  15.599,     0.0
     2.0,-0.000058,-0.000007,0.007442,0.000140,0.000000,  15.596,     0.0
     3.0,0.000000,-0.000011,-0.795132,0.000163,0.000000,  15.594,     0.0
     4.0,-0.000009,0.000000,0.000036,0.000000,0.000000,  15.601,     0.0
     5.0,-0.000009,0.000000,-0.000036,0.001787,0.000000,  15.610,     0.0
     6.0,-0.000022,-0.000025,-0.000074,0.002515,0.000000,  15.615,     0.1
     7.0,-0.000009,-0.000036,-0.000111,0.002526,0.000000,  15.608,     0.1
     8.0,-0.000022,-0.000054,0.000034,0.003187,0.000000,  15.611,     0.1
     9.0,-0.000027,-0.000051,-0.000075,0.003726,0.000000,  15.614,     0.1
    10.0,-0.000036,-0.000065,-0.000038,0.003671,0.000000,  15.616,     0.1
    11.0,-0.000036,-0.000069,0.000036,0.004043,0.000000,  15.611,     0.1
    12.0,-0.000045,-0.000065,0.000000,0.004175,0.000000,  15.614,     0.1
    13.0,-0.000045,-0.000058,0.000072,0.003908,0.000000,  15.616,     0.1
    14.0,-0.000040,-0.000065,-0.000038,0.003146,0.000000,  15.615,     0.1
    15.0,-0.000054,-0.000065,0.000070,0.003963,0.000000,  15.613,     0.1
    16.0,-0.000063,-0.000080,-0.000038,0.003779,0.000000,  15.609,     0.1
    17.0,-0.000067,-0.000091,-0.000074,0.004282,0.000000,  15.618,     0.1
    18.0,-0.000076,-0.000091,0.000000,0.004359,0.000000,  15.614,     0.2
    19.0,-0.000076,-0.000084,-0.000147,0.004491,0.000000,  15.614,     0.2
    20.0,-0.000081,-0.000094,-0.000002,0.004359,0.000000,  15.615,     0.2
    21.0,-0.000090,-0.000098,0.000034,0.003636,0.000000,  15.613,     0.2
    22.0,-0.000090,-0.000112,0.000034,0.003240,0.000000,  15.616,     0.2
    23.0,-0.000085,-0.000115,0.000072,0.003963,0.000000,  15.618,     0.2
    24.0,-0.000090,-0.000112,0.000000,0.004305,0.000000,  15.619,     0.2
    25.0,-0.000085,-0.000101,0.000000,0.004665,0.000000,  15.621,     0.2
    26.0,-0.000090,-0.000080,-0.000110,0.005103,0.000000,  15.613,     0.2
    27.0,-0.000067,-0.000087,-0.000074,0.004730,0.000000,  15.620,     0.2
    28.0,-0.000085,-0.000091,-0.000075,0.004308,0.000000,  15.624,     0.2
    29.0,-0.000090,-0.000090,-0.000147,0.004926,0.000000,  15.624,     0.2
    30.0,-0.000072,-0.000087,-0.000074,0.004533,0.000000,  15.627,     0.3
    31.0,-0.000063,-0.000084,-0.000110,0.005245,0.000000,  15.622,     0.3
    32.0,-0.000063,-0.000087,0.000000,0.005463,0.000000,  15.625,     0.3
    33.0,-0.000049,-0.000069,-0.000110,0.005704,0.000000,  15.627,     0.3
    34.0,-0.000049,-0.000069,-0.000002,0.005508,0.000000,  15.622,     0.3
    35.0,-0.000036,-0.000073,-0.000039,0.005391,0.000000,  15.629,     0.3
    36.0,-0.000040,-0.000058,-0.000002,0.004881,0.000000,  15.633,     0.3
    37.0,-0.000023,-0.000062,0.000034,0.005572,0.000000,  15.630,     0.3
    38.0,-0.000040,-0.000058,-0.000002,0.005408,0.000000,  15.633,     0.3
    39.0,-0.000031,-0.000051,0.000072,0.006486,0.000000,  15.631,     0.3
    40.0,-0.000022,-0.000051,0.000216,0.007031,0.000000,  15.634,     0.3
    41.0,0.000148,-0.000025,0.000252,0.007574,0.000000,  15.634,     0.3
    42.0,0.000144,0.000117,0.000070,0.007154,0.000000,  15.628,     0.3
    43.0,0.000085,0.000117,0.000070,0.006672,0.000000,  15.640,     0.4
    44.0,0.000054,0.000062,-0.000111,0.006867,0.000000,  15.642,     0.4
    45.0,0.000040,0.000033,-0.000038,0.007008,0.000000,  15.637,     0.4
    46.0,0.000027,0.000030,0.000108,0.006976,0.000000,  15.641,     0.4
    47.0,0.000031,0.000011,0.000032,0.006518,0.000000,  15.644,     0.4
    48.0,0.000022,0.000000,-0.000005,0.007008,0.000000,  15.642,     0.4
    49.0,-0.000000,-0.000014,0.000108,0.006899,0.000000,  15.647,     0.4
    50.0,-0.000005,-0.000017,0.000072,0.006672,0.000000,  15.642,     0.4
    51.0,-0.000027,-0.000018,0.000108,0.006976,0.000000,  15.642,     0.4
    52.0,-0.000023,-0.000014,-0.000002,0.007520,0.000000,  15.646,     0.4
    53.0,-0.000005,-0.000014,-0.000075,0.007877,0.000000,  15.644,     0.4
    54.0,-0.000036,-0.000011,-0.000039,0.007443,0.000000,  15.650,     0.4
    55.0,-0.000036,-0.000018,-0.000002,0.007451,0.000000,  15.650,     0.5
    56.0,-0.000023,-0.000033,0.000072,0.006939,0.000000,  15.646,     0.5
    57.0,-0.000023,-0.000029,-0.000111,0.007071,0.000000,  15.654,     0.5
    58.0,-0.000054,-0.000036,0.000000,0.007374,0.000000,  15.657,     0.5
    59.0,-0.000058,-0.000051,0.000000,0.005103,0.000000,  15.648,     0.5
    60.0,-0.000049,-0.000069,0.000036,0.006182,0.000000,  15.649,     0.5
    61.0,-0.000036,-0.000061,0.000000,0.005377,0.000000,  15.649,     0.5
    62.0,-0.000036,-0.000054,0.000038,0.006890,0.000000,  15.653,     0.5
    63.0,-0.000067,-0.000051,-0.000036,0.007397,0.000000,  15.662,     0.5
    64.0,-0.000067,-0.000062,0.000002,0.007568,0.000000,  15.666,     0.5
    65.0,-0.000063,-0.000065,0.000000,0.007646,0.000000,  15.659,     0.5
    66.0,-0.000049,-0.000065,0.000000,0.006785,0.000000,  15.665,     0.6
    67.0,-0.000045,-0.000065,-0.000075,0.005664,0.000000,  15.651,     0.6
    68.0,-0.000063,-0.000054,-0.000002,0.005723,0.000000,  15.664,     0.6
    69.0,-0.000063,-0.000051,-0.000075,0.006690,0.000000,  15.665,     0.6
    70.0,-0.000063,-0.000047,-0.000111,0.007320,0.000000,  15.668,     0.6
    71.0,-0.000058,-0.000036,-0.000002,0.006675,0.000000,  15.666,     0.6
    72.0,-0.000045,-0.000043,0.000036,0.007206,0.000000,  15.672,     0.6
    73.0,-0.000036,-0.000050,0.000036,0.007503,0.000000,  15.659,     0.6
