Run Name,20220826_dsnPPR10_NA_AF647
Run Date,11:34:00 AM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  895
Points/Second, 1.00
Number of Records,    636
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.000375,0.000016,0.821567,-0.554173,0.000000,  16.073,     0.0
     1.0,0.000371,0.000019,0.821787,-0.554264,0.000000,  16.077,     0.0
     2.0,-0.000023,0.000012,0.821877,-0.554201,0.000000,  16.076,     0.0
     3.0,0.000000,0.000000,0.000617,-0.000163,0.000000,  16.080,     0.0
     4.0,-0.000009,0.000022,0.000000,0.000560,0.000000,  16.073,     0.0
     5.0,-0.000014,0.000000,0.000000,-0.000396,0.000000,  16.075,     0.0
     6.0,-0.000009,-0.000018,-0.000074,0.000186,0.000000,  16.071,     0.1
     7.0,-0.000014,0.000004,-0.000002,-0.000039,0.000000,  16.076,     0.1
     8.0,-0.000005,0.000001,0.000073,0.000770,0.000000,  16.079,     0.1
     9.0,0.000018,0.000011,-0.000002,0.000490,0.000000,  16.077,     0.1
    10.0,0.000014,0.000008,-0.000002,0.000653,0.000000,  16.078,     0.1
    11.0,-0.000018,0.000022,0.000000,0.000677,0.000000,  16.080,     0.1
    12.0,-0.000023,0.000015,0.000000,0.000560,0.000000,  16.078,     0.1
    13.0,-0.000023,0.000019,-0.000038,0.000373,0.000000,  16.081,     0.1
    14.0,-0.000009,0.000004,-0.000002,0.000802,0.000000,  16.083,     0.1
    15.0,-0.000023,-0.000007,0.000108,0.001159,0.000000,  16.079,     0.1
    16.0,-0.000023,-0.000010,0.000071,0.000934,0.000000,  16.071,     0.1
    17.0,-0.000027,-0.000029,0.000071,0.000638,0.000000,  16.070,     0.1
    18.0,-0.000014,-0.000032,0.000108,0.000778,0.000000,  16.080,     0.2
    19.0,-0.000023,-0.000032,0.000145,0.001081,0.000000,  16.080,     0.2
    20.0,-0.000027,-0.000018,0.000183,0.001074,0.000000,  16.075,     0.2
    21.0,-0.000045,-0.000022,0.000256,0.000887,0.000000,  16.074,     0.2
    22.0,-0.000045,-0.000029,0.000218,0.000895,0.000000,  16.071,     0.2
    23.0,-0.000059,-0.000032,0.000108,0.000926,0.000000,  16.075,     0.2
    24.0,-0.000059,-0.000061,0.000109,0.000817,0.000000,  16.073,     0.2
    25.0,-0.000050,-0.000054,0.000109,-0.000148,0.000000,  16.073,     0.2
    26.0,-0.000041,-0.000058,0.000071,0.000653,0.000000,  16.079,     0.2
    27.0,-0.000045,-0.000062,0.000145,0.000646,0.000000,  16.074,     0.2
    28.0,-0.000072,-0.000076,0.000145,0.000272,0.000000,  16.074,     0.2
    29.0,-0.000059,-0.000065,0.000108,-0.000560,0.000000,  16.076,     0.2
    30.0,-0.000072,-0.000076,0.000109,0.000280,0.000000,  16.073,     0.3
    31.0,-0.000068,-0.000087,0.000035,0.000576,0.000000,  16.079,     0.3
    32.0,-0.000081,-0.000084,0.000035,0.000871,0.000000,  16.077,     0.3
    33.0,-0.000081,-0.000109,0.000035,0.000980,0.000000,  16.080,     0.3
    34.0,-0.000095,-0.000105,0.000145,0.000653,0.000000,  16.079,     0.3
    35.0,-0.000086,-0.000106,0.000145,0.000708,0.000000,  16.077,     0.3
    36.0,-0.000109,-0.000106,0.000071,-0.000055,0.000000,  16.079,     0.3
    37.0,-0.000113,-0.000106,0.000108,0.000723,0.000000,  16.077,     0.3
    38.0,0.000027,-0.000113,0.000035,0.000817,0.000000,  16.076,     0.3
    39.0,0.000014,-0.000095,0.000255,0.000466,0.000000,  16.087,     0.3
    40.0,-0.000063,0.000016,0.000291,0.000614,0.000000,  16.080,     0.3
    41.0,-0.000113,-0.000046,0.000145,0.000498,0.000000,  16.085,     0.3
    42.0,-0.000158,-0.000094,0.000109,0.000646,0.000000,  16.087,     0.3
    43.0,-0.000181,-0.000157,0.000111,0.000436,0.000000,  16.086,     0.4
    44.0,-0.000213,-0.000179,0.000147,0.000653,0.000000,  16.083,     0.4
    45.0,-0.000213,-0.000183,0.000111,0.000513,0.000000,  16.086,     0.4
    46.0,-0.000226,-0.000204,0.000147,0.000436,0.000000,  16.085,     0.4
