Run Name,20220826_dsnPPR10_NA_NA
Run Date,12:12:25 PM   08-26-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  898
Points/Second, 1.00
Number of Records,    635
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.000140,-0.000278,0.817217,-0.556097,0.000000,  16.073,     0.0
     1.0,-0.000005,-0.000278,0.816885,-0.556091,0.000000,  16.074,     0.0
     2.0,-0.000009,0.000000,0.000074,0.000057,0.000000,  16.073,     0.0
     3.0,-0.000014,-0.000018,0.000111,-0.000688,0.000000,  16.077,     0.0
     4.0,-0.000005,-0.000040,-0.000003,0.000672,0.000000,  16.077,     0.0
     5.0,0.000000,-0.000014,-0.000077,-0.000112,0.000000,  16.076,     0.0
     6.0,-0.000009,-0.000021,-0.000076,0.000797,0.000000,  16.079,     0.1
     7.0,-0.000032,-0.000043,-0.000114,0.001424,0.000000,  16.077,     0.1
     8.0,-0.000014,-0.000040,-0.000077,0.000440,0.000000,  16.080,     0.1
     9.0,-0.000027,-0.000047,0.000071,0.001231,0.000000,  16.079,     0.1
    10.0,-0.000027,-0.000033,0.000035,0.000518,0.000000,  16.085,     0.1
    11.0,-0.000036,-0.000040,-0.000003,0.000688,0.000000,  16.082,     0.1
    12.0,-0.000041,-0.000054,0.000071,0.000362,0.000000,  16.083,     0.1
    13.0,-0.000032,-0.000058,-0.000001,-0.000392,0.000000,  16.087,     0.1
    14.0,-0.000041,-0.000054,0.000035,0.000021,0.000000,  16.089,     0.1
    15.0,-0.000023,-0.000043,0.000071,-0.000555,0.000000,  16.090,     0.1
    16.0,-0.000032,-0.000058,-0.000001,-0.000805,0.000000,  16.087,     0.1
    17.0,-0.000023,-0.000061,0.000035,-0.000252,0.000000,  16.092,     0.1
    18.0,-0.000027,-0.000064,0.000071,0.000766,0.000000,  16.091,     0.2
    19.0,-0.000032,-0.000028,0.000035,0.001068,0.000000,  16.081,     0.2
    20.0,-0.000036,-0.000032,0.000071,0.000409,0.000000,  16.090,     0.2
    21.0,-0.000036,-0.000032,0.000035,0.000766,0.000000,  16.090,     0.2
    22.0,-0.000009,-0.000007,-0.000076,0.000827,0.000000,  16.095,     0.2
    23.0,0.000027,0.000040,-0.000114,-0.000851,0.000000,  16.088,     0.2
    24.0,0.000086,0.000091,-0.000003,-0.001429,0.000000,  16.085,     0.2
    25.0,0.000144,0.000156,-0.000001,-0.002582,0.000000,  16.091,     0.2
    26.0,0.000230,0.000225,0.000071,-0.002870,0.000000,  16.089,     0.2
    27.0,0.000316,0.000326,-0.000003,-0.002077,0.000000,  16.087,     0.2
    28.0,0.000401,0.000453,-0.000076,-0.001929,0.000000,  16.086,     0.2
    29.0,0.000455,0.000503,-0.000038,-0.002015,0.000000,  16.083,     0.2
    30.0,0.000451,0.000564,-0.000112,-0.002101,0.000000,  16.080,     0.3
    31.0,0.000424,0.000586,0.000035,-0.002649,0.000000,  16.088,     0.3
    32.0,0.000406,0.000597,-0.000001,-0.002500,0.000000,  16.086,     0.3
    33.0,0.000347,0.000539,-0.000076,-0.002826,0.000000,  16.087,     0.3
    34.0,0.000298,0.000470,-0.000001,-0.002413,0.000000,  16.088,     0.3
    35.0,0.000266,0.000423,-0.000038,-0.002093,0.000000,  16.087,     0.3
    36.0,0.000244,0.000405,-0.000076,-0.001929,0.000000,  16.085,     0.3
    37.0,0.000217,0.000362,-0.000038,-0.001382,0.000000,  16.088,     0.3
    38.0,0.000366,0.000373,-0.000001,-0.001796,0.000000,  16.081,     0.3
    39.0,0.000393,0.000488,-0.000003,-0.001585,0.000000,  16.078,     0.3
    40.0,0.000361,0.000480,0.000106,-0.001819,0.000000,  16.084,     0.3
    41.0,0.000307,0.000443,-0.000003,-0.001859,0.000000,  16.081,     0.3
    42.0,0.000280,0.000413,-0.000003,-0.002038,0.000000,  16.073,     0.3
    43.0,0.000307,0.000428,-0.000076,-0.001897,0.000000,  16.080,     0.4
    44.0,0.000311,0.000442,-0.000038,-0.002179,0.000000,  16.077,     0.4
    45.0,0.000325,0.000460,-0.000001,-0.002672,0.000000,  16.075,     0.4
    46.0,0.000361,0.000521,-0.000001,-0.002531,0.000000,  16.067,     0.4
    47.0,0.000397,0.000546,-0.000038,-0.002148,0.000000,  16.063,     0.4
