Run Name,20220915_10300_dsnPPR10_1Cy3_2AF_60delay
Run Date,08:08:59 PM   09-16-22
Method Name,0.75ml/min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  932
Points/Second, 1.00
Number of Records,   2150
Offset from Run Start Time,00:00:00
Run End Time,00:35:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,Tube Number
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,Volume,Fraction
     0.0,0.000000,0.000000,0.000725,0.000000,  17.940,     0.0,0
     1.0,0.000000,0.000000,-0.000090,-0.000873,  17.943,     0.0,0
     2.0,0.000021,-0.000012,-0.000003,-0.001209,  17.943,     0.0,0
     3.0,-0.000010,-0.000025,0.000041,-0.001114,  17.946,     0.0,0
     4.0,0.000000,-0.000029,0.000041,-0.001374,  17.943,     0.1,0
     5.0,-0.000010,-0.000024,-0.000049,-0.001383,  17.942,     0.1,0
     6.0,-0.000020,-0.000025,0.000041,-0.001287,  17.951,     0.1,0
     7.0,0.000005,-0.000033,0.000041,-0.001201,  17.947,     0.1,0
     8.0,0.000000,-0.000025,0.000041,-0.001460,  17.947,     0.1,0
     9.0,-0.000005,-0.000025,0.000041,-0.001123,  17.949,     0.1,0
    10.0,-0.000010,-0.000021,0.000041,-0.001019,  17.947,     0.1,0
    11.0,-0.000015,-0.000025,-0.000139,-0.001174,  17.945,     0.1,0
    12.0,-0.000020,-0.000025,-0.000049,-0.001269,  17.948,     0.2,0
    13.0,-0.000005,-0.000025,-0.000049,-0.001278,  17.947,     0.2,0
    14.0,-0.000021,-0.000017,-0.000049,-0.001374,  17.950,     0.2,0
    15.0,-0.000026,-0.000017,-0.000003,-0.001374,  17.944,     0.2,0
    16.0,-0.000011,0.000002,0.000041,-0.001287,  17.942,     0.2,0
    17.0,0.000025,0.000018,-0.000049,-0.001451,  17.940,     0.2,0
    18.0,0.000009,0.000022,-0.000049,-0.001296,  17.937,     0.2,0
    19.0,0.000015,0.000030,-0.000137,-0.001374,  17.934,     0.2,0
    20.0,0.000025,0.000010,-0.000049,-0.001451,  17.929,     0.3,0
    21.0,0.000004,-0.000002,-0.000003,-0.001529,  17.929,     0.3,0
    22.0,0.000030,-0.000005,-0.000003,-0.001625,  17.928,     0.3,0
    23.0,0.000030,0.000006,-0.000003,-0.001269,  17.922,     0.3,0
    24.0,0.000014,0.000010,-0.000003,-0.001287,  17.913,     0.3,0
    25.0,0.000004,-0.000006,-0.000046,-0.001287,  17.916,     0.3,0
    26.0,0.000004,0.000010,-0.000093,-0.001807,  17.921,     0.3,0
    27.0,0.000015,0.000007,-0.000003,-0.001365,  17.923,     0.3,0
    28.0,-0.000001,0.000007,-0.000046,-0.001374,  17.918,     0.3,0
    29.0,0.000014,0.000007,-0.000003,-0.001114,  17.925,     0.4,0
    30.0,0.000014,-0.000017,-0.000003,-0.001019,  17.922,     0.4,0
    31.0,-0.000006,-0.000017,-0.000046,-0.001114,  17.926,     0.4,0
    32.0,0.000010,0.000003,-0.000271,-0.001028,  17.921,     0.4,0
    33.0,-0.000017,0.000002,-0.000137,-0.001123,  17.922,     0.4,0
    34.0,0.000014,0.000026,-0.000046,-0.001451,  17.912,     0.4,0
    35.0,0.000035,0.000022,-0.000090,-0.000846,  17.926,     0.4,0
