Run Name,20220915_dsnPPR10_1Cy3_3AF_0delay
Run Date,06:53:17 PM   09-16-22
Method Name,0.75ml/min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  929
Points/Second, 1.00
Number of Records,   2157
Offset from Run Start Time,00:00:00
Run End Time,00:35:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,Tube Number
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,Volume,Fraction
     0.0,0.000000,0.000000,0.000392,-0.000149,  17.966,     0.0,0
     1.0,0.000000,0.000000,0.000485,0.000050,  17.965,     0.0,0
     2.0,0.000026,-0.000004,-0.000090,0.019432,  17.962,     0.0,0
     3.0,0.000015,-0.000001,-0.000003,-0.000420,  17.963,     0.0,0
     4.0,0.000010,0.000003,-0.000003,-0.000574,  17.962,     0.1,0
     5.0,0.000010,-0.000012,-0.000273,-0.001375,  17.962,     0.1,0
     6.0,0.000015,-0.000033,-0.000093,-0.001280,  17.958,     0.1,0
     7.0,-0.000005,-0.000033,-0.000003,-0.001176,  17.959,     0.1,0
     8.0,-0.000005,-0.000029,0.000084,-0.001194,  17.962,     0.1,0
     9.0,-0.000005,-0.000041,-0.000006,-0.001194,  17.964,     0.1,0
    10.0,-0.000011,-0.000037,-0.000003,-0.001022,  17.962,     0.1,0
    11.0,0.000000,-0.000033,-0.000093,-0.001108,  17.960,     0.1,0
    12.0,0.000010,-0.000041,-0.000183,-0.000936,  17.958,     0.2,0
    13.0,0.000015,-0.000029,-0.000093,-0.000773,  17.956,     0.2,0
    14.0,0.000015,-0.000017,0.000131,-0.000936,  17.947,     0.2,0
    15.0,0.000020,-0.000021,0.000041,-0.000936,  17.959,     0.2,0
    16.0,0.000020,-0.000013,-0.000003,-0.001194,  17.960,     0.2,0
    17.0,-0.000001,-0.000017,-0.000003,-0.001443,  17.958,     0.2,0
    18.0,-0.000001,-0.000025,-0.000003,-0.001271,  17.962,     0.2,0
    19.0,0.000015,-0.000021,-0.000003,-0.001194,  17.960,     0.2,0
    20.0,-0.000001,-0.000013,-0.000046,-0.001280,  17.962,     0.3,0
    21.0,-0.000011,-0.000037,-0.000003,-0.001538,  17.962,     0.3,0
    22.0,0.000005,-0.000025,-0.000093,-0.001012,  17.965,     0.3,0
    23.0,-0.000006,-0.000037,-0.000049,-0.001348,  17.958,     0.3,0
    24.0,0.000010,-0.000045,-0.000093,-0.001271,  17.962,     0.3,0
    25.0,-0.000001,-0.000037,-0.000003,-0.001185,  17.959,     0.3,0
    26.0,-0.000011,-0.000033,-0.000003,-0.001012,  17.959,     0.3,0
    27.0,0.000015,-0.000045,-0.000003,-0.001108,  17.959,     0.3,0
    28.0,0.000010,-0.000033,-0.000003,-0.001185,  17.956,     0.3,0
    29.0,-0.000000,-0.000025,-0.000003,-0.001271,  17.962,     0.4,0
    30.0,0.000005,-0.000033,-0.000093,-0.001366,  17.948,     0.4,0
    31.0,0.000010,-0.000029,-0.000093,-0.001271,  17.958,     0.4,0
    32.0,0.000014,-0.000013,-0.000093,-0.001271,  17.954,     0.4,0
    33.0,0.000009,-0.000017,-0.000003,-0.001262,  17.956,     0.4,0
    34.0,-0.000001,-0.000025,0.000087,-0.001606,  17.954,     0.4,0
    35.0,0.000015,-0.000017,-0.000183,-0.001357,  17.952,     0.4,0
    36.0,-0.000006,-0.000025,-0.000183,-0.001357,  17.952,     0.4,0
    37.0,0.000004,-0.000017,-0.000093,-0.001271,  17.953,     0.5,0
    38.0,0.000010,-0.000001,-0.000183,-0.001108,  17.949,     0.5,0
    39.0,-0.000007,-0.000009,-0.000183,-0.000926,  17.949,     0.5,0
    40.0,-0.000001,-0.000029,-0.000136,-0.000917,  17.949,     0.5,0
    41.0,0.000004,-0.000005,-0.000049,-0.001185,  17.953,     0.5,0
    42.0,-0.000011,-0.000017,-0.000049,-0.001443,  17.952,     0.5,0
    43.0,-0.000006,-0.000025,-0.000183,-0.000840,  17.957,     0.5,0
    44.0,0.000020,-0.000021,-0.000136,-0.001366,  17.956,     0.6,0
    45.0,-0.000022,-0.000009,-0.000183,-0.001108,  17.946,     0.6,0
    46.0,-0.000016,-0.000017,-0.000093,-0.001262,  17.946,     0.6,0
    47.0,-0.000016,-0.000025,-0.000093,-0.001080,  17.944,     0.6,0
    48.0,-0.000006,-0.000037,-0.000095,-0.001348,  17.944,     0.6,0
    49.0,-0.000011,-0.000037,-0.000183,-0.001262,  17.935,     0.6,0
    50.0,-0.000005,-0.000029,-0.000093,-0.001271,  17.939,     0.6,0
    51.0,-0.000011,-0.000028,-0.000183,-0.001547,  17.940,     0.6,0
    52.0,-0.000006,-0.000033,-0.000093,-0.001280,  17.937,     0.6,0
    53.0,-0.000000,-0.000040,-0.000093,-0.001280,  17.940,     0.7,0
    54.0,-0.000031,-0.000024,-0.000183,-0.001280,  17.939,     0.7,0
    55.0,-0.000031,-0.000036,-0.000183,-0.001176,  17.946,     0.7,0
    56.0,-0.000016,-0.000037,-0.000003,-0.001348,  17.942,     0.7,0
    57.0,-0.000016,-0.000045,-0.000183,-0.001357,  17.945,     0.7,0
    58.0,-0.000006,-0.000060,-0.000226,-0.001366,  17.942,     0.7,0
    59.0,-0.000031,-0.000076,-0.000180,-0.001022,  17.949,     0.7,0
    60.0,0.000054,0.000201,0.000000,-0.001003,  17.954,     0.8,0
