Run Name,20220915_dsnPPR10_1Cy3_2AF_15delay
Run Date,04:26:35 PM   09-16-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  924
Points/Second, 1.00
Number of Records,    641
Offset from Run Start Time,00:00:00
Run End Time,00:10:41
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.002705,0.002401,0.004781,-0.008375,0.908572,  17.930,     0.0
     1.0,0.002700,0.002373,0.004781,-0.008375,0.908737,  17.931,     0.0
     2.0,0.002696,0.002382,0.004690,-0.008289,0.909850,  17.930,     0.0
     3.0,0.002687,0.002370,0.004690,-0.008548,0.910321,  17.928,     0.0
     4.0,0.002672,0.002370,0.004737,-0.008644,0.908643,  17.930,     0.0
     5.0,0.002662,0.002338,0.004646,-0.008299,0.909819,  17.929,     0.0
     6.0,0.000000,0.002334,0.004690,-0.008049,0.910115,  17.925,     0.1
     7.0,0.000021,0.002330,0.004784,-0.008116,0.910318,  17.932,     0.1
     8.0,0.000021,0.000000,0.004787,0.000086,0.911329,  17.929,     0.1
     9.0,0.000036,0.000004,-0.000135,-0.000681,0.912459,  17.930,     0.1
    10.0,0.000042,-0.000016,-0.000091,-0.001545,0.912714,  17.931,     0.1
    11.0,0.000042,-0.000020,-0.000138,-0.001026,0.913141,  17.928,     0.1
    12.0,0.000037,-0.000020,-0.000047,-0.000508,0.910895,  17.921,     0.1
    13.0,0.000038,-0.000012,0.000044,-0.000853,0.910454,  17.927,     0.1
    14.0,0.000033,0.000008,0.000088,-0.000853,0.906943,  17.924,     0.1
    15.0,0.000034,-0.000000,0.000044,-0.000853,0.904241,  17.925,     0.1
    16.0,0.000050,-0.000024,-0.000088,-0.000776,0.902664,  17.921,     0.1
    17.0,0.000035,-0.000012,-0.000044,-0.000949,0.904043,  17.916,     0.1
    18.0,0.000051,-0.000016,0.000000,-0.000959,0.905058,  17.915,     0.2
    19.0,0.000051,-0.000015,-0.000088,-0.000776,0.904143,  17.911,     0.2
    20.0,0.000041,-0.000015,-0.000044,-0.000776,0.908825,  17.915,     0.2
    21.0,0.000047,-0.000019,-0.000044,-0.001103,0.911419,  17.909,     0.2
    22.0,0.000052,-0.000011,0.000003,-0.001026,0.910997,  17.913,     0.2
    23.0,0.000053,-0.000019,-0.000044,-0.001026,0.908936,  17.914,     0.2
    24.0,0.000048,-0.000011,-0.000088,-0.001035,0.907588,  17.905,     0.2
    25.0,0.000038,-0.000011,-0.000041,-0.000700,0.909266,  17.910,     0.2
