Run Name,20220915_dsnPPR10_1Cy3_2AF_30Delay
Run Date,05:06:23 PM   09-16-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  925
Points/Second, 1.00
Number of Records,    633
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.000000,0.000000,-0.062921,0.000000,1.010899,  17.941,     0.0
     1.0,-0.000269,-0.000325,0.000000,-0.000794,1.010978,  17.941,     0.0
     2.0,-0.000551,-0.000561,-0.000170,-0.000679,1.019533,  17.939,     0.0
     3.0,-0.000764,-0.000731,-0.000340,-0.001544,1.026118,  17.939,     0.0
     4.0,-0.001012,-0.001046,-0.000849,-0.001728,1.024708,  17.937,     0.0
     5.0,-0.001541,-0.001439,-0.000849,-0.002167,1.019093,  17.933,     0.0
     6.0,-0.001921,-0.001771,-0.001357,-0.002436,1.018320,  17.937,     0.1
     7.0,-0.002393,-0.002214,-0.001865,-0.003058,1.019816,  17.931,     0.1
     8.0,-0.002708,-0.002547,-0.002203,-0.003058,1.021196,  17.935,     0.1
     9.0,-0.002876,-0.002701,-0.002293,-0.003143,1.018845,  17.931,     0.1
    10.0,-0.003201,-0.003114,-0.002541,-0.004019,1.020308,  17.933,     0.1
    11.0,-0.003649,-0.003470,-0.002710,-0.003666,1.021740,  17.932,     0.1
    12.0,-0.003883,-0.003685,-0.003048,-0.004104,1.018525,  17.936,     0.1
    13.0,-0.004185,-0.003971,-0.003385,-0.004723,1.015881,  17.935,     0.1
    14.0,-0.004544,-0.004302,-0.003385,-0.004286,1.012628,  17.941,     0.1
    15.0,-0.005013,-0.004739,-0.003890,-0.004808,1.013235,  17.940,     0.1
    16.0,-0.005391,-0.005021,-0.004148,-0.005693,1.019484,  17.938,     0.1
    17.0,-0.005570,-0.005291,-0.004227,-0.005426,1.019267,  17.939,     0.1
    18.0,-0.005868,-0.005576,-0.004564,-0.005863,1.019697,  17.938,     0.2
    19.0,-0.006336,-0.005981,-0.004900,-0.006139,1.021737,  17.935,     0.2
    20.0,-0.006670,-0.006353,-0.005068,-0.006479,1.022814,  17.946,     0.2
    21.0,-0.006902,-0.006555,-0.005403,-0.005873,1.022357,  17.946,     0.2
    22.0,-0.007455,-0.007101,-0.005739,-0.006830,1.020424,  17.944,     0.2
    23.0,-0.007966,-0.007521,-0.006242,-0.007350,1.017821,  17.946,     0.2
    24.0,-0.008176,-0.007815,-0.006577,-0.007530,1.016124,  17.945,     0.2
    25.0,-0.008552,-0.008277,-0.006744,-0.007624,1.013005,  17.946,     0.2
    26.0,-0.008807,-0.008428,-0.006911,-0.007274,1.014073,  17.945,     0.2
    27.0,-0.009072,-0.008630,-0.007245,-0.007624,1.019541,  17.947,     0.2
    28.0,-0.009602,-0.009333,-0.007490,-0.008747,1.020488,  17.940,     0.2
    29.0,-0.010285,-0.009768,-0.007746,-0.009104,1.015578,  17.944,     0.2
    30.0,-0.011110,-0.010762,-0.008747,-0.009367,1.015185,  17.943,     0.3
    31.0,-0.011946,-0.011852,-0.009080,-0.010233,1.011528,  17.947,     0.3
    32.0,-0.012603,-0.012426,-0.009579,-0.010927,1.012946,  17.948,     0.3
    33.0,-0.012876,-0.012792,-0.009911,-0.011274,1.016216,  17.949,     0.3
    34.0,-0.013282,-0.013362,-0.010422,-0.011535,1.019716,  17.946,     0.3
    35.0,-0.013774,-0.013669,-0.010498,-0.011620,1.020399,  17.945,     0.3
    36.0,-0.014222,-0.014109,-0.011161,-0.012052,1.022656,  17.948,     0.3
    37.0,-0.013237,-0.013364,-0.010830,-0.010587,1.023340,  17.947,     0.3
