Run Name,20220915_1Cy3_3AF_0delay
Run Date,04:11:30 PM   09-16-22
Method Name,0.5 ml / min 100 uL inject 4WL FRET
Export Format Version, 1.00
Method ID,  923
Points/Second, 1.00
Number of Records,    635
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (550.0 nm), AU
QuadTec 4, (650.0 nm), AU
UV,AU
Conductivity,mS/cm
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,UV,Conductivity,Volume
     0.0,0.000000,0.000000,-0.670509,0.000000,0.937338,  17.920,     0.0
     1.0,0.000000,0.000000,-0.000140,-0.000501,0.932761,  17.919,     0.0
     2.0,0.000019,0.000014,-0.000027,-0.000906,0.935508,  17.918,     0.0
     3.0,-0.000016,0.000001,-0.000216,-0.001133,0.936940,  17.914,     0.0
     4.0,0.000003,-0.000011,-0.000202,-0.001480,0.935406,  17.916,     0.0
     5.0,0.000018,-0.000013,-0.000233,-0.001231,0.932059,  17.913,     0.0
     6.0,0.000014,-0.000016,-0.000161,-0.001161,0.933941,  17.921,     0.1
     7.0,0.000016,0.000008,-0.000094,-0.001210,0.935120,  17.920,     0.1
     8.0,0.000013,0.000006,-0.000075,-0.001341,0.937749,  17.919,     0.1
     9.0,0.000005,-0.000011,-0.000107,-0.001295,0.935744,  17.921,     0.1
    10.0,0.000006,0.000017,-0.000191,-0.001060,0.937616,  17.922,     0.1
    11.0,0.000040,0.000024,-0.000173,-0.001191,0.938129,  17.928,     0.1
    12.0,0.000063,0.000027,-0.000101,-0.001322,0.934182,  17.923,     0.1
    13.0,0.000038,0.000016,-0.000186,-0.001465,0.933247,  17.917,     0.1
    14.0,0.000046,0.000013,-0.000119,-0.001619,0.934566,  17.926,     0.1
    15.0,0.000056,0.000021,-0.000101,-0.001644,0.937755,  17.925,     0.1
    16.0,0.000081,0.000034,-0.000087,-0.001491,0.933069,  17.930,     0.1
    17.0,0.000077,0.000031,-0.000118,-0.001515,0.935531,  17.932,     0.1
    18.0,0.000104,0.000043,-0.000051,-0.001539,0.933454,  17.934,     0.2
    19.0,0.000097,0.000045,0.000011,-0.001481,0.932905,  17.935,     0.2
    20.0,0.000103,0.000062,0.000078,-0.001505,0.933336,  17.937,     0.2
    21.0,0.000104,0.000040,0.000091,-0.001847,0.934339,  17.939,     0.2
    22.0,0.000101,0.000042,0.000060,-0.001789,0.935879,  17.940,     0.2
    23.0,0.000109,0.000078,0.000020,-0.001813,0.933588,  17.942,     0.2
    24.0,0.000128,0.000070,0.000038,-0.001955,0.931992,  17.940,     0.2
    25.0,0.000100,0.000086,0.000104,-0.002096,0.931115,  17.945,     0.2
    26.0,0.000120,0.000074,0.000166,-0.001850,0.933938,  17.942,     0.2
    27.0,0.000133,0.000066,0.000180,-0.001605,0.930043,  17.942,     0.2
    28.0,0.000160,0.000086,0.000096,-0.002015,0.931373,  17.935,     0.2
    29.0,0.000168,0.000123,0.000060,-0.001758,0.932428,  17.928,     0.2
    30.0,0.000187,0.000129,0.000175,-0.001421,0.933256,  17.921,     0.3
    31.0,0.000195,0.000135,0.000241,-0.001736,0.933017,  17.904,     0.3
    32.0,0.000197,0.000147,0.000254,-0.001935,0.933582,  17.908,     0.3
    33.0,0.000190,0.000148,0.000166,-0.002064,0.935816,  17.917,     0.3
    34.0,0.000180,0.000145,0.000280,-0.002192,0.936441,  17.909,     0.3
    35.0,0.000200,0.000171,0.000144,-0.002961,0.937096,  17.913,     0.3
    36.0,0.000205,0.000182,0.000206,-0.002251,0.940321,  17.911,     0.3
    37.0,0.000212,0.000192,0.000271,-0.002367,0.937209,  17.912,     0.3
    38.0,0.000268,0.000232,0.000385,-0.002298,0.929760,  17.911,     0.3
    39.0,0.000249,0.000251,0.000249,-0.002344,0.930801,  17.907,     0.3
    40.0,0.000350,0.000602,0.000310,-0.002263,0.933625,  17.908,     0.3
    41.0,0.000703,0.000860,0.000271,-0.002368,0.931559,  17.910,     0.3
    42.0,0.000713,0.000730,0.000284,-0.002705,0.930022,  17.899,     0.3
    43.0,0.000600,0.000558,0.000349,-0.002832,0.932075,  17.903,     0.4
    44.0,0.000430,0.000403,0.000266,-0.002832,0.935167,  17.901,     0.4
    45.0,0.000346,0.000320,0.000375,-0.002971,0.937897,  17.895,     0.4
    46.0,0.000292,0.000284,0.000388,-0.003748,0.936590,  17.892,     0.4
    47.0,0.000259,0.000252,0.000397,-0.003318,0.936904,  17.891,     0.4
    48.0,0.000258,0.000259,0.000362,-0.003237,0.933745,  17.890,     0.4
    49.0,0.000250,0.000232,0.000374,-0.003364,0.932372,  17.889,     0.4
    50.0,0.000225,0.000224,0.000335,-0.002912,0.933782,  17.881,     0.4
    51.0,0.000228,0.000216,0.000348,-0.003039,0.933206,  17.888,     0.4
    52.0,0.000238,0.000222,0.000361,-0.003177,0.931587,  17.894,     0.4
    53.0,0.000243,0.000227,0.000374,-0.002831,0.932826,  17.890,     0.4
    54.0,0.000215,0.000218,0.000335,-0.002762,0.931754,  17.896,     0.4
    55.0,0.000200,0.000202,0.000395,-0.003176,0.934072,  17.896,     0.5
    56.0,0.000223,0.000202,0.000356,-0.003476,0.931595,  17.895,     0.5
